Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Fix versions,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
Verify that admin can able to search with the approved status of the customers,P1-136,10161,Test,Done,P1,Project 1,software,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,,Medium,Done,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,08/Sep/21 5:07 AM,08/Sep/21 5:59 AM,08/Sep/21 5:36 AM,08/Sep/21 5:59 AM,Version 11,,0,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,,,,,,,,,,,,,,,,,,,,,,,{},,P1-96,,,,,0|i000k6:i,,P1 Sprint 12,,,,,,,,Done
As a admin can able to filter the customers with the approved status,P1-135,10160,Task,Done,P1,Project 1,software,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,,Medium,Done,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,08/Sep/21 5:05 AM,08/Sep/21 5:58 AM,08/Sep/21 5:05 AM,08/Sep/21 5:58 AM,Version 11,,0,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,,,,,,,,,P1-136,,,,,,,,,,,,,,{},,P1-96,,,,,0|i000k6:,,P1 Sprint 12,,,,,,,,Done
Verify that admin can able to search with the customer group,P1-134,10159,Test,Done,P1,Project 1,software,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,,Medium,Done,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,08/Sep/21 5:03 AM,08/Sep/21 5:59 AM,08/Sep/21 5:32 AM,08/Sep/21 5:59 AM,Version 11,,0,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,,,,,,,,,,,,,,,,,,,,,,,{},,P1-96,,,,,0|i000k5:,,P1 Sprint 12,,,,,,,,Done
"As a admin, admin can able to search the customers with the type pf customer group",P1-133,10158,Task,Done,P1,Project 1,software,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,,Medium,Done,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,08/Sep/21 5:02 AM,08/Sep/21 5:58 AM,08/Sep/21 5:02 AM,08/Sep/21 5:58 AM,Version 11,,0,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,,,,,,,,,P1-134,,,,,,,,,,,,,,{},,P1-96,,,,,0|i000k3:,,P1 Sprint 12,,,,,,,,Done
Verify that admin can able to search with the customer name ,P1-132,10157,Test,Done,P1,Project 1,software,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,,Medium,Done,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,08/Sep/21 4:46 AM,08/Sep/21 4:59 AM,08/Sep/21 4:48 AM,08/Sep/21 4:59 AM,Version 11,,0,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,7200,7200,,0%,7200,7200,,,,,,,,,,,,,,,,,{},,P1-96,,,,,0|i000il:,,P1 Sprint 11,,,,,,,,Done
"As a admin, admin can able to search with the name of the customer",P1-131,10156,Task,Done,P1,Project 1,software,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,,Medium,Done,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,08/Sep/21 4:45 AM,08/Sep/21 4:59 AM,08/Sep/21 4:48 AM,08/Sep/21 4:59 AM,Version 11,,0,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,7200,7200,,0%,7200,7200,,,P1-132,,,,,,,,,,,,,,{},,P1-96,,,,,0|i000ij:,,P1 Sprint 11,,,,,,,,Done
Validate that confirm password should match with the password,P1-130,10155,Bug,Done,P1,Project 1,software,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,,Medium,Done,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,07/Sep/21 5:13 AM,09/Sep/21 3:36 AM,07/Sep/21 5:19 AM,07/Sep/21 5:20 AM,Version 10,,0,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,,,,,,,,,P1-127,,,,,,,,,,,,,,{},,P1-96,,,,,0|i000mn:,,P1 Sprint 10,,,,,,,,Done
Validate that mail should contain @ notation,P1-129,10154,Bug,Done,P1,Project 1,software,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,,Medium,Done,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,07/Sep/21 5:12 AM,09/Sep/21 3:36 AM,07/Sep/21 5:19 AM,07/Sep/21 5:20 AM,Version 10,,0,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,,,,,,,,,P1-127,,,,,,,,,,,,,,{},,P1-96,,,,,0|i000mf:,,P1 Sprint 10,,,,,,,,Done
Validate that customer first name or last name should not have alpha numeric,P1-128,10153,Bug,Done,P1,Project 1,software,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,,Medium,Done,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,07/Sep/21 5:10 AM,09/Sep/21 3:36 AM,07/Sep/21 5:10 AM,07/Sep/21 5:18 AM,Version 10,,0,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,,,,,,,,,P1-127,,,,,,,,,,,,,,{},,P1-96,,,,,0|i000m7:,,P1 Sprint 10,,,,,,,,Done
Verify that admin can save the details and to go back to the home page,P1-127,10152,Test,Done,P1,Project 1,software,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,,Medium,Done,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,07/Sep/21 4:36 AM,07/Sep/21 5:17 AM,07/Sep/21 4:48 AM,07/Sep/21 5:17 AM,Version 10,,0,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,7200,7200,,0%,7200,7200,,,P1-128,P1-129,P1-130,,,,,,,,,,,,{},,P1-96,,,,,0|i000ie:r,,P1 Sprint 10,,,,,,,,Done
Verify that admin can enter the details of the customer to add,P1-126,10151,Test,Done,P1,Project 1,software,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,,Medium,Done,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,07/Sep/21 4:35 AM,07/Sep/21 5:18 AM,07/Sep/21 4:58 AM,07/Sep/21 5:18 AM,Version 10,,0,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,7200,7200,,0%,7200,7200,,,,,,,,,,,,,,,,,{},,P1-96,,,,,0|i000ie:v,,P1 Sprint 10,,,,,,,,Done
Verify that admin can able to navigate to the page to add details,P1-125,10150,Test,Done,P1,Project 1,software,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,,Medium,Done,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,07/Sep/21 4:34 AM,07/Sep/21 5:18 AM,07/Sep/21 4:44 AM,07/Sep/21 5:18 AM,Version 10,,0,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,7200,7200,,0%,7200,7200,,,,,,,,,,,,,,,,,{},,P1-96,,,,,0|i000ie:i,,P1 Sprint 10,,,,,,,,Done
"As a admin, admin can able to save or cancel the adding customers",P1-124,10149,Task,Done,P1,Project 1,software,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,,Medium,Done,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,07/Sep/21 4:27 AM,07/Sep/21 5:17 AM,07/Sep/21 4:42 AM,07/Sep/21 5:17 AM,Version 10,,0,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,28800,28800,,0%,28800,28800,,,P1-127,,,,,,,,,,,,,,{},,P1-96,,,,,0|i000ie:,,P1 Sprint 10,,,,,,,,Done
"As a admin, admin can able to enter the details of the customer",P1-123,10148,Task,Done,P1,Project 1,software,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,,Medium,Done,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,07/Sep/21 4:26 AM,07/Sep/21 5:17 AM,07/Sep/21 4:41 AM,07/Sep/21 5:17 AM,Version 10,,0,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,28800,28800,,0%,28800,28800,,,P1-126,,,,,,,,,,,,,,{},,P1-96,,,,,0|i000id:,,P1 Sprint 10,,,,,,,,Done
"As a admin, admin can able to navigate to the page to add customer ",P1-122,10147,Task,Done,P1,Project 1,software,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,,Medium,Done,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,07/Sep/21 4:25 AM,07/Sep/21 5:17 AM,07/Sep/21 4:42 AM,07/Sep/21 5:17 AM,Version 10,,0,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,28800,28800,,0%,28800,28800,,,P1-125,,,,,,,,,,,,,,{},,P1-96,,,,,0|i000ib:,,P1 Sprint 10,,,,,,,,Done
Verify that admin can able to add the customer details,P1-121,10146,Test,Done,P1,Project 1,software,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,,Medium,Done,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,06/Sep/21 2:42 PM,06/Sep/21 2:57 PM,06/Sep/21 2:51 PM,06/Sep/21 2:57 PM,Version 9,,0,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,7200,7200,,0%,7200,7200,,,,,,,,,,,,,,,,,{},,P1-97,,,,,0|i000ke:r,,P1 Sprint 9,,,,,,,,Done
Verify that admin can able to enter the details,P1-120,10145,Test,Done,P1,Project 1,software,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,,Medium,Done,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,06/Sep/21 2:39 PM,06/Sep/21 2:57 PM,06/Sep/21 2:49 PM,06/Sep/21 2:57 PM,Version 9,,0,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,7200,7200,,0%,7200,7200,,,,,,,,,,,,,,,,,{},,P1-97,,,,,0|i000ke:i,,P1 Sprint 9,,,,,,,,Done
Verify that admin can able to add customers ,P1-119,10144,Test,Done,P1,Project 1,software,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,,Medium,Done,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,06/Sep/21 2:35 PM,06/Sep/21 2:57 PM,06/Sep/21 2:43 PM,06/Sep/21 2:57 PM,Version 9,,0,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,7200,7200,,0%,7200,7200,,,,,,,,,,,,,,,,,{},,P1-97,,,,,0|i000ke:,,P1 Sprint 9,,,,,,,,Done
"As a admin, admin can able to enter the details to add the customer",P1-118,10143,Task,Done,P1,Project 1,software,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,,Medium,Done,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,06/Sep/21 2:31 PM,06/Sep/21 2:57 PM,06/Sep/21 2:31 PM,06/Sep/21 2:57 PM,Version 9,,0,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,,,,,,,,,P1-120,P1-121,,,,,,,,,,,,,{},,P1-97,,,,,0|i000kd:,,P1 Sprint 9,,,,,,,,Done
"As a admin, admin can able to add customers ",P1-117,10142,Task,Done,P1,Project 1,software,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,,Medium,Done,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,06/Sep/21 2:28 PM,06/Sep/21 2:57 PM,06/Sep/21 2:28 PM,06/Sep/21 2:57 PM,Version 9,,0,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,,,,,,,,,P1-119,,,,,,,,,,,,,,{},,P1-97,,,,,0|i000kb:,,P1 Sprint 9,,,,,,,,Done
Validate that if details are entered it should be saved,P1-116,10141,Bug,Done,P1,Project 1,software,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,,Medium,Done,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,06/Sep/21 9:55 AM,06/Sep/21 10:00 AM,06/Sep/21 9:55 AM,06/Sep/21 9:59 AM,Version 8,,0,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,,,,,,,,,P1-112,,,,,,,,,,,,,,{},,P1-98,,,,,0|i000lz:,,P1 Sprint 8,,,,,,,,Done
Validate that admin can able to add the details,P1-115,10140,Bug,Done,P1,Project 1,software,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,,Medium,Done,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,06/Sep/21 9:53 AM,06/Sep/21 10:00 AM,06/Sep/21 9:53 AM,06/Sep/21 9:59 AM,Version 8,,0,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,,,,,,,,,P1-112,,,,,,,,,,,,,,{},,P1-98,,,,,0|i000lr:,,P1 Sprint 8,,,,,,,,Done
Verify the custom field and select the field to delete,P1-114,10139,Test,Done,P1,Project 1,software,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,,Medium,Done,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,06/Sep/21 9:22 AM,06/Sep/21 9:59 AM,06/Sep/21 9:35 AM,06/Sep/21 9:59 AM,Version 8,,0,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,,,,,,,,,,,,,,,,,,,,,,,{},,P1-98,,,,,0|i000lj:,,P1 Sprint 8,,,,,,,,Done
Verify the fields inside the add button and if don't want to add the details cancel the data entry,P1-113,10138,Test,Done,P1,Project 1,software,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,,Medium,Done,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,06/Sep/21 9:18 AM,06/Sep/21 9:59 AM,06/Sep/21 9:38 AM,06/Sep/21 9:59 AM,Version 8,,0,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,,,,,,,,,,,,,,,,,,,,,,,{},,P1-98,,,,,0|i000lb:,,P1 Sprint 8,,,,,,,,Done
Verify the fields inside the add button and save the data,P1-112,10137,Test,Done,P1,Project 1,software,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,,Medium,Done,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,06/Sep/21 9:15 AM,06/Sep/21 9:59 AM,06/Sep/21 9:41 AM,06/Sep/21 9:59 AM,Version 8,,0,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,,,,,,,,,P1-115,P1-116,,,,,,,,,,,,,{},,P1-98,,,,,0|i000l3:,,P1 Sprint 8,,,,,,,,Done
"As a admin, admin can delete the details of customs ",P1-111,10136,Task,Done,P1,Project 1,software,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,,Medium,Done,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,06/Sep/21 8:57 AM,06/Sep/21 9:59 AM,06/Sep/21 9:32 AM,06/Sep/21 9:59 AM,,,0,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,,,,,,,,,P1-114,,,,,,,,,,,,,,{},,P1-98,,,,,0|i000kv:,,P1 Sprint 8,,,,,,,,Done
"As a admin, admin can able add the details of custom",P1-110,10135,Task,Done,P1,Project 1,software,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,,Medium,Done,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,06/Sep/21 8:56 AM,06/Sep/21 9:59 AM,06/Sep/21 9:32 AM,06/Sep/21 9:59 AM,,,0,,,Pranathi Sai Prathyusha Mudiveti,612ef7a544c8ed006880e7cb,,,,,,,,,P1-112,P1-113,,,,,,,,,,,,,{},,P1-98,,,,,0|i000kn:,,P1 Sprint 8,,,,,,,,Done
